Posts,Labels,date_created
"Bestuurder Conny Helder lobbyde om mondkapjes in verpleeghuizen af te raden.

Het leed was onbeschrijfelijk. Zorgverleners trokken bij ons aan de bel. Zij voelen zich nog schuldig en/of zijn nu zelf ziek.

Lobby mag nooit boven belang van goede zorg gaan.",0,2026-05-28T11:55:44.000Z
"Samen de druk opvoeren werkt!

Dankzij gezamenlijke druk is de verhoging van de AOW-leeftijd van tafel. Nu de rest van de bezuinigingen nog.

De vakbonden voeren in juni door het hele land acties tegen dit minderheidskabinet. 

Sluit je nu aan!
",1,2026-05-26T12:28:44.000Z
"De politici die de mond vol hebben van het terugdringen van vluchtelingen, zijn dezelfde politici die de oorlogen van Trump en Netanyahu niet veroordelen. ",0,2026-05-26T09:27:05.000Z
"De prijzen van energie blijven stijgen. Mensen kunnen de rekening niet meer betalen.

Waar wacht Jetten op?
Pak de zeggenschap terug.

Verlaag de belasting op energie, maximeer de prijzen en belast de hoge winsten. Maak energie betaalbaar ⤵️",1,2026-05-23T16:04:30.000Z
"Ook werkgevers willen geen bezuinigingen op sociale zekerheid.

Jetten staat nu écht HE-LE-MAAL alleen.

Alleen de VVD steunt Jetten nog.
Naar wie luistert hij? ",0,2026-05-22T12:02:33.000Z
"Een meerderheid van de Tweede Kamer, de samenleving en de vakbonden willen niet dat geld uit de pot voor arbeidsongeschiktheid wordt geroofd.

Stop de arrogantie van de macht.
Het kabinet moet aangenomen SP-voorstel uitvoeren. ",1,2026-05-21T06:47:31.000Z
"Vandaag is het gehaktdag.
Het kabinet legt financiële verantwoording af over het afgelopen jaar.

De uitkomst is glashelder:
Miljoenen voor mensen blijven op de plank liggen terwijl er miljarden over de balk worden gesmeten voor Defensie. ",0,2026-05-20T14:01:47.000Z
"Het kabinet Jetten veroorzaakt problemen, stress en onzekerheid bij mensen.

Terwijl het vermogen van de allerrijkste Nederlanders groeit, snoeit het kabinet Jetten op mensen die zorg en zekerheid nodig hebben. ",0,2026-05-20T10:07:08.000Z
"De afbraak van sociale zekerheid is asociaal. Het toont de arrogantie van de macht. 

Mensen die ons land draaiende houden, verdienen een overheid die aan hun kant staat.

Samen krijgen we deze bezuinigingen van tafel. Want: Wij zijn met meer! ",0,2026-05-19T06:26:47.000Z
@suusonline Helaas lukt het ons niet om bij alle debatten aanwezig te zijn. We zijn met z’n drieën. Volgende keer zal ik er wel weer zijn.,1,2026-05-18T21:19:55.000Z
