tweet_index,yhavinga-imdb_dutch,benjaminvdb-dbrd,corona-tweet-dutch_social-test2,corona-tweet-dutch_social-test3,corona-tweet-dutch_social-test4,corona-tweet-dutch_social-test5,roberta-large-multilingual-sentiment,robbert-large-with-imdb,robbert-large-with-dbrd-mac,robbert-large-with-dbrd-colab,xlm-roberta-large-with-concat-pc,xlm-roberta-large-with-concat-mac,robbert-large-with-dbrd-plus-imdb-mac,robbert-large-with-toxi-text
0,"{'label': 'LABEL_0', 'score': 0.5482556223869324}","{'label': 'LABEL_1', 'score': 0.7096863389015198}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108441710472107}","{'label': 'LABEL_0', 'score': 0.5111503005027771}","{'label': 'LABEL_1', 'score': 0.6099686026573181}","{'label': 'negative', 'score': 0.8847517371177673}","{'label': 'LABEL_0', 'score': 0.9121508598327637}","{'label': 'LABEL_1', 'score': 0.7364590167999268}","{'label': 'LABEL_0', 'score': 0.6756622195243835}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_0', 'score': 0.8274498581886292}","{'label': 'LABEL_0', 'score': 0.9601485133171082}","{'label': 'LABEL_0', 'score': 0.8104788661003113}"
1,"{'label': 'LABEL_1', 'score': 0.5084092020988464}","{'label': 'LABEL_1', 'score': 0.820802628993988}","{'label': 'LABEL_1', 'score': 0.715280294418335}","{'label': 'LABEL_0', 'score': 0.5108442306518555}","{'label': 'LABEL_0', 'score': 0.5111409425735474}","{'label': 'LABEL_0', 'score': 0.8969970345497131}","{'label': 'negative', 'score': 0.6144033670425415}","{'label': 'LABEL_0', 'score': 0.5028942227363586}","{'label': 'LABEL_1', 'score': 0.5077176690101624}","{'label': 'LABEL_1', 'score': 0.5975201725959778}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_1', 'score': 0.8819339871406555}","{'label': 'LABEL_0', 'score': 0.9578238725662231}","{'label': 'LABEL_0', 'score': 0.985496461391449}"
2,"{'label': 'LABEL_0', 'score': 0.7808825969696045}","{'label': 'LABEL_1', 'score': 0.9866313338279724}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108442306518555}","{'label': 'LABEL_0', 'score': 0.5111467242240906}","{'label': 'LABEL_1', 'score': 0.7928245663642883}","{'label': 'positive', 'score': 0.6236547827720642}","{'label': 'LABEL_0', 'score': 0.9069055318832397}","{'label': 'LABEL_1', 'score': 0.945713996887207}","{'label': 'LABEL_1', 'score': 0.7040656208992004}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_0', 'score': 0.8505892157554626}","{'label': 'LABEL_0', 'score': 0.9270272254943848}","{'label': 'LABEL_0', 'score': 0.9902915358543396}"
3,"{'label': 'LABEL_1', 'score': 0.9906065464019775}","{'label': 'LABEL_1', 'score': 0.9867672324180603}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108441710472107}","{'label': 'LABEL_0', 'score': 0.5111439228057861}","{'label': 'LABEL_1', 'score': 0.9423373341560364}","{'label': 'positive', 'score': 0.9933547973632812}","{'label': 'LABEL_1', 'score': 0.9681941270828247}","{'label': 'LABEL_1', 'score': 0.8052036762237549}","{'label': 'LABEL_1', 'score': 0.8937616348266602}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_1', 'score': 0.9589718580245972}","{'label': 'LABEL_1', 'score': 0.7285574078559875}","{'label': 'LABEL_0', 'score': 0.8402590155601501}"
4,"{'label': 'LABEL_1', 'score': 0.5692227482795715}","{'label': 'LABEL_0', 'score': 0.5031326413154602}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108442306518555}","{'label': 'LABEL_0', 'score': 0.5111479163169861}","{'label': 'LABEL_1', 'score': 0.7500007152557373}","{'label': 'positive', 'score': 0.5165719389915466}","{'label': 'LABEL_1', 'score': 0.6518810987472534}","{'label': 'LABEL_1', 'score': 0.889919102191925}","{'label': 'LABEL_1', 'score': 0.8333469033241272}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_1', 'score': 0.8598796725273132}","{'label': 'LABEL_1', 'score': 0.7420046329498291}","{'label': 'LABEL_0', 'score': 0.9877586960792542}"
5,"{'label': 'LABEL_0', 'score': 0.8089680671691895}","{'label': 'LABEL_0', 'score': 0.9425095319747925}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108442306518555}","{'label': 'LABEL_0', 'score': 0.5111522674560547}","{'label': 'LABEL_0', 'score': 0.9544882774353027}","{'label': 'negative', 'score': 0.9980898499488831}","{'label': 'LABEL_0', 'score': 0.974819004535675}","{'label': 'LABEL_0', 'score': 0.9791685938835144}","{'label': 'LABEL_0', 'score': 0.9254052639007568}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_0', 'score': 0.9741041660308838}","{'label': 'LABEL_0', 'score': 0.9982340335845947}","{'label': 'LABEL_1', 'score': 0.5486735105514526}"
6,"{'label': 'LABEL_1', 'score': 0.7781014442443848}","{'label': 'LABEL_1', 'score': 0.9720062017440796}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108441710472107}","{'label': 'LABEL_0', 'score': 0.5111407041549683}","{'label': 'LABEL_1', 'score': 0.8253883719444275}","{'label': 'positive', 'score': 0.9902305006980896}","{'label': 'LABEL_1', 'score': 0.9895474910736084}","{'label': 'LABEL_1', 'score': 0.9897375702857971}","{'label': 'LABEL_1', 'score': 0.9684006571769714}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_1', 'score': 0.984921395778656}","{'label': 'LABEL_1', 'score': 0.9818642139434814}","{'label': 'LABEL_0', 'score': 0.9343951344490051}"
7,"{'label': 'LABEL_1', 'score': 0.9723697900772095}","{'label': 'LABEL_1', 'score': 0.8992679715156555}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108441710472107}","{'label': 'LABEL_0', 'score': 0.5111396312713623}","{'label': 'LABEL_1', 'score': 0.8223055005073547}","{'label': 'negative', 'score': 0.9983741044998169}","{'label': 'LABEL_0', 'score': 0.6298489570617676}","{'label': 'LABEL_1', 'score': 0.6447532176971436}","{'label': 'LABEL_1', 'score': 0.8987941741943359}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_0', 'score': 0.7738001346588135}","{'label': 'LABEL_0', 'score': 0.9969033598899841}","{'label': 'LABEL_0', 'score': 0.6623597741127014}"
8,"{'label': 'LABEL_0', 'score': 0.9036387801170349}","{'label': 'LABEL_0', 'score': 0.9178478717803955}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108441710472107}","{'label': 'LABEL_0', 'score': 0.5111494660377502}","{'label': 'LABEL_0', 'score': 0.9884721040725708}","{'label': 'negative', 'score': 0.9985904097557068}","{'label': 'LABEL_0', 'score': 0.9656107425689697}","{'label': 'LABEL_0', 'score': 0.9849509000778198}","{'label': 'LABEL_0', 'score': 0.9286622405052185}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_0', 'score': 0.9638592600822449}","{'label': 'LABEL_0', 'score': 0.9801456332206726}","{'label': 'LABEL_1', 'score': 0.9099069833755493}"
9,"{'label': 'LABEL_1', 'score': 0.6690581440925598}","{'label': 'LABEL_1', 'score': 0.8490571975708008}","{'label': 'LABEL_1', 'score': 0.7152802348136902}","{'label': 'LABEL_0', 'score': 0.5108442306518555}","{'label': 'LABEL_0', 'score': 0.5111518502235413}","{'label': 'LABEL_1', 'score': 0.7000695466995239}","{'label': 'positive', 'score': 0.9260513186454773}","{'label': 'LABEL_0', 'score': 0.5482553839683533}","{'label': 'LABEL_1', 'score': 0.8759008049964905}","{'label': 'LABEL_1', 'score': 0.931881308555603}","{'label': 'LABEL_0', 'score': 0.5025849938392639}","{'label': 'LABEL_1', 'score': 0.9533748626708984}","{'label': 'LABEL_0', 'score': 0.8729506731033325}","{'label': 'LABEL_0', 'score': 0.6742650270462036}"
