Posts;Labels
‘ Hamas is vrouwenhaat. Maar wie dat weten wil, wist het al.' Jolande Withuis. 🎯 ;0
Hier ➡️ ;1
"Zoek de verschillen…..

De uitspraak van Lubbers “Nederland is ziek” van begin jaren ‘90 is ook nu aan de orde. 1.5 miljoen mensen zijn afhankelijk van ons sociale vangnet. Onuitvoerbaar. Onhoudbaar. Donderdag debat in de Tweede Kamer. 
";0
"De boodschap van kabinet-Jetten aan onze boeren: krimp of verdwijn.

Boerengezinnen die ons voedsel produceren, betalen opnieuw de prijs voor falend stikstofbeleid. Kabinet-Jetten dendert door, losgezongen van de werkelijkheid.

Het moet rigoureus anders.👇🏻

";0
Dit soort uitspraken zijn de aanleiding: ;0
"De instroom moet fors omlaag. Daarom 2 moties ingediend:

👉🏻 Geen asielprocedure in Nederland als iemand al elders in Europa een aanvraag heeft lopen;

👉🏻 Financiële bijstand (in welke vorm dan ook) alleen bij aantoonbare integratie-inspanningen.

Dinsdag stemmingen. #debat ";0
"Nederlanders begrijpen best dat migratie niet van de ene op de andere dag verdwijnt. Maar ze verwachten wél dat de politiek doet wat mogelijk is.

Toch worden concrete voorstellen door GL/PvdA en D66 telkens weer geblokkeerd. Altijd is er wel een reden waarom het niet kan. #debat ";0
Want buiten X is alle sociale media een oase van rust en beschaving. Hoe dan ook: kom eens uit je links-progressieve bubbel en wees geïnteresseerd in andere meningen en mensen.  ;1
"De noodzaak van de staat als neutrale staat. Paul Frissen: “De staat is een gevaarlijke institutie omdat die een aantal dingen mag die wij allemaal niet mogen. De staat mag geweld gebruiken en mag van ons stelen.” De staat zou erg terughoudend moeten zijn in opvattingen uiten over de moraal, hoe je moet leven, wat het het goede leven is. De verleiding is namelijk groot om dat af te gaan dwingen. 
Dat is niet aan de staat. 👌🏼➡️
";1
Democratie bestaat uit twee woorden: demos en kratos. Wanneer die twee steeds verder uit elkaar groeien, gaat het mis. Dan helpen dit soort starre “de wet is de wet”-praatjes niet meer. Als de overheid langdurig de realiteit en de meerderheid van het volk negeert, verliest ze legitimiteit.;0
Ik wil uitleg waarom de instroom niet drastisch naar beneden gaat. 🙄 ;0
"Nederlanders willen dat de politiek verantwoordelijkheid neemt en maatregelen treft om grip te krijgen op asiel.

Onbegrijpelijk dat een Kamermeerderheid onder leiding van Klaver het debat op het laatste moment uitstelt. Wat mij betreft hadden we het gisteren al gevoerd. ";0
@suusonline @KarinPlazi59876 Dat klopt. De naam van het debat van vanavond is een aanklacht tegen gewone burgers die al járen vinden dat de asielinstroom onhoudbaar is. ;0
Na de zomer? Vanavond debat. Het is de hoogste tijd dat er maatregelen genomen worden. Dit kan zo niet langer. ;0
@Denkjewel Zeker. Maar ook doen alsof het dan klaar is. Alsof er daarna niet weer duizenden komen.;1
"Terwijl het al weken onrustig is over de komst van nieuwe AZC’s, was onze premier nergens te bekennen. En wat is uiteindelijk de oplossing van kabinet Jetten? Meer ambtenaren om plannen door te drukken.

Morgen doe ik wél concrete voorstellen om weer grip te krijgen op migratie. ";0
"Dus tóch weer het stikstofkaartje? Alleen onder een andere naam?

Op basis van Haagse modellen moeten dan opnieuw boerenbedrijven verdwijnen die al generaties lang ons voedsel produceren.

Net als op asiel dendert kabinet-Jetten door, totaal losgezongen van de werkelijkheid.👇🏻

";0
"Als elke persoon die een poster aanvraagt een asielzoeker in huis neemt, zijn er voorlopig geen nieuwe opvangplekken meer nodig. 

Echt, kan dit stoppen? We hebben een zelf georganiseerde asielcrisis in dit land die om allerlei redenen aangepakt en beëindigd moet worden. ";0
Losgezongen van de meerderheid van de eigen bevolking. Breken van de belofte om nu eens echt iets te doen aan de migratie. Elke week nog steeds ongeveer 1000 mensen erbij. Man man man. Waar gaat dit heen? 😞 ;0
Losgezongen van de meerderheid van de eigen bevolking. Breken van de belofte om nu eens echt iets te doen aan de migratie. Elke week nog steeds ongeveer 1000 mensen. Man man man. Waar gaat dit heen? 😞 ;0
"De “onderklasse”…. Jawel, mensen. 

De grote vraag is wie daar volgens de boven ons gestelden allemaal toe behoort. Ik vrees dat een andere mening dan zij hebben, bepalend is. 

Mijn pa zaliger zou zeggen: dat maken we zelf wel uit. 💪🏼 ";1
"De “onderklasse”…. Jawel, mensen. 

De grote vraag is wie daar volgens de boven ons gestelden allemaal toe behoort. Ik vrees dat een andere mening dat zij hebben, bepalend is. 

Mijn pa zaliger zou zeggen: dat maken we zelf wel uit. 💪🏼 ";1
"“Het is niet de taak van een lokale bestuurder om een historisch conflict uit een ver land de eigen stad binnen te dragen. En al helemaal niet om dat conflict terug te brengen tot één verhaal van één kant.” 

Beschaafde woorden van @cjhertzberger over de bizarre vertoning in Amsterdam en Utrecht mbt #Nakba ⬇️
";1
