tweet_index,tweet_url,robbert-large-with-dbrd-plus-imdb-mac_label,robbert-large-with-dbrd-plus-imdb-mac_score,robbert-large-with-toxi-text_label,robbert-large-with-toxi-text_score,robbert-L-dbrd-imdb-insurance_label,robbert-L-dbrd-imdb-insurance_score
0,https://x.com/41778159/status/2045737894703153575,LABEL_1,0.951352655887604,LABEL_0,0.997981011867523,LABEL_1,0.976129174232483
1,https://x.com/41778159/status/2045527765311496680,LABEL_1,0.725662887096405,LABEL_0,0.982954680919647,LABEL_1,0.625666856765747
2,https://x.com/41778159/status/2045512799829295445,LABEL_0,0.718618094921112,LABEL_1,0.600774049758911,LABEL_1,0.538861870765686
3,https://x.com/41778159/status/2045460142636863902,LABEL_0,0.809466421604157,LABEL_0,0.901574611663818,LABEL_0,0.520130753517151
4,https://x.com/41778159/status/2045453955640053853,LABEL_1,0.794045984745026,LABEL_0,0.994358122348785,LABEL_1,0.716218590736389
5,https://x.com/41778159/status/2045220808780394584,LABEL_1,0.986157536506653,LABEL_0,0.96267306804657,LABEL_1,0.972623467445374
6,https://x.com/41778159/status/2045139728324763946,LABEL_0,0.989880800247192,LABEL_0,0.954308032989502,LABEL_0,0.882022023200989
7,https://x.com/41778159/status/2044854712512516359,LABEL_0,0.741695761680603,LABEL_0,0.962107539176941,LABEL_0,0.540560066699982
8,https://x.com/41778159/status/2044820915028955204,LABEL_0,0.992069005966187,LABEL_0,0.647686779499054,LABEL_0,0.719777762889862
9,https://x.com/41778159/status/2044749152098152920,LABEL_0,0.903842747211456,LABEL_0,0.576065063476563,LABEL_1,0.513820946216583
10,https://x.com/41778159/status/2044502349482229857,LABEL_0,0.92078822851181,LABEL_0,0.907312273979187,LABEL_1,0.895522654056549
11,https://x.com/41778159/status/2044496979900747809,LABEL_1,0.963176310062408,LABEL_0,0.995992720127106,LABEL_1,0.957596242427826
12,https://x.com/41778159/status/2044430268405051792,LABEL_0,0.994811177253723,LABEL_0,0.848219394683838,LABEL_0,0.885631442070007
13,https://x.com/41778159/status/2044275483068571710,LABEL_0,0.954182088375092,LABEL_0,0.984927415847778,LABEL_0,0.795022249221802
14,https://x.com/41778159/status/2044096233128554896,LABEL_1,0.997124254703522,LABEL_0,0.996924579143524,LABEL_1,0.995801150798798
15,https://x.com/41778159/status/2044093725333197165,LABEL_0,0.682568609714508,LABEL_0,0.876634359359741,LABEL_0,0.652684271335602
16,https://x.com/41778159/status/2044085277891678690,LABEL_0,0.957624554634094,LABEL_0,0.998189747333527,LABEL_0,0.803173780441284
17,https://x.com/41778159/status/2044077006598344746,LABEL_1,0.973708510398865,LABEL_0,0.826151430606842,LABEL_1,0.962391316890717
18,https://x.com/41778159/status/2044061102770667544,LABEL_0,0.925964534282684,LABEL_0,0.931212723255158,LABEL_0,0.671901285648346
19,https://x.com/41778159/status/2043726141135966431,LABEL_0,0.960148513317108,LABEL_0,0.815820157527924,LABEL_0,0.631594300270081
,,robbert-L-dbrd-imdb-clapDataset_label,robbert-L-dbrd-imdb-clapDataset_score,,,,
,,LABEL_1,0.959459245204926,,,,
,,LABEL_1,0.808067202568054,,,,
,,LABEL_0,0.736779570579529,,,,
,,LABEL_0,0.781997263431549,,,,
,,LABEL_1,0.838679790496826,,,,
,,LABEL_1,0.978712677955627,,,,
,,LABEL_0,0.960361182689667,,,,
,,LABEL_1,0.692641973495483,,,,
,,LABEL_0,0.853424847126007,,,,
,,LABEL_0,0.855851173400879,,,,
,,LABEL_0,0.662796497344971,,,,
,,LABEL_1,0.937668979167938,,,,
,,LABEL_0,0.972204387187958,,,,
,,LABEL_0,0.969324171543121,,,,
,,LABEL_1,0.992422759532929,,,,
,,LABEL_0,0.909264504909515,,,,
,,LABEL_0,0.950411021709442,,,,
,,LABEL_1,0.874077200889587,,,,
,,LABEL_0,0.824461877346039,,,,
,,LABEL_0,0.927363336086273,,,,
