Posts;Labels
Terugkijken: het inleidend statement van de wekelijkse persconferentie van premier Rob Jetten na de #ministerraad. Met aandacht voor gesprekken met werknemers en werkgevers over de toekomst van onze sociale zekerheid, de noodzaak van de Spreidingswet om zo onder andere druk op de asielopvang in Ter Apel te verlichten, en voor twee ministerraadsbesluiten op gebied van klimaat.;1
LIVE: de persconferentie van premier Rob Jetten over de #ministerraad ⬇ ;1
Kijk vanaf 13.45 uur de persconferentie na de #ministerraad live op X of via mijn YouTube-kanaal: ;1
"Eindhoven is de vijfde stad van Nederland en vervult een belangrijke functie in onze economie. Goed om daarom nader kennis te maken met Jeroen Dijsselbloem, de burgemeester van de @gem_Eindhoven. 

We spraken onder meer over wat er moet gebeuren om de Brainportregio verder door te ontwikkelen, over het belang van het sneller aanpakken van problemen rond netcongestie en over het asielvraagstuk. Ik kijk uit naar onze samenwerking.";1
"Grote bewondering voor het doorzettingsvermogen van Sviatlana @tsihanouskaya. Met gevaar voor eigen leven zet zij zich al jaren in voor de democratische krachten in Belarus. Het was dan ook een eer haar vandaag te mogen ontvangen. 

We spraken over het belang van een democratisch en stabiel Belarus voor de veiligheid van heel Europa. Nederland blijft dan ook actief steun geven aan de bescherming van mensenrechten en voor de vrijlating van alle politieke gevangen.";1
"Het kabinet blijft doorwerken aan een pact voor eerlijk werken en een sterke economie. 

Lees hier de kabinetsreactie na overleg met vakcentrales en werkgeversorganisaties: ";1
"In het dorpshuis van het Friese Goutum ging ik in gesprek met omwonenden van een opvanglocatie voor vluchtelingen. In het begin waren er zorgen en onrust over de komst van een opvanglocatie in het dorp. Gevoelens om serieus over in gesprek te gaan. 

Vanuit het COA en de gemeente is er meteen een omgevingsoverleg opgezet met de mensen uit de buurt. Met bijeenkomsten waar voor- en tegenstanders elkaar in de ogen konden kijken en open en eerlijk hun zorgen en gevoelens konden delen. 

Wat ik mee terug neem is dat het belangrijk is om de lokale gemeenschap mee te nemen in besluitvorming, goed te luisteren naar omwonenden en dat de lijntjes tussen alle betrokkenen kort blijven.";1
"In het dorpshuis van het Friese Goutom ging ik in gesprek met omwonenden van een opvanglocatie voor vluchtelingen. In het begin waren er zorgen en onrust over de komst van een opvanglocatie in het dorp. Gevoelens om serieus over in gesprek te gaan. 

Vanuit het COA en de gemeente is er meteen een omgevingsoverleg opgezet met de mensen uit de buurt. Met bijeenkomsten waar voor- en tegenstanders elkaar in de ogen konden kijken en open en eerlijk hun zorgen en gevoelens konden delen. 

Wat ik mee terug neem is dat het belangrijk is om de lokale gemeenschap mee te nemen in besluitvorming, goed te luisteren naar omwonenden en dat de lijntjes tussen alle betrokkenen kort blijven.";1
"Indrukwekkend hoe in Gezondheidscentrum Camminghaburen in Leeuwarden - ik was hier op uitnodiging van ROS Friesland - met verschillende zorgverleners wordt samengewerkt. 

Huisartsen, apothekers, fysiotherapeuten, diëtisten en meer, allemaal onder één dak. Dat betekent korte lijnen, snel schakelen en bekende gezichten. Goed voor de zorg voor patiënten en prettig voor werknemers. 

Daarbij wordt niet puur naar de fysieke zorgkant gekeken, maar ook nadrukkelijk de link gelegd met het sociale domein. Want niet iedere vraag is een zorgvraag. Soms zijn mensen eenzaam of hebben andere  problemen die niet direct door medische zorg opgelost kunnen worden.

Door deze aanpak draagt dit gezondheidscentrum bij aan een prettige, veilige, gezonde en sociale leefomgeving. En door vroegtijdig en breed naar de zorgbehoefte van mensen te kijken, kan bovendien in sommige gevallen de veel duurdere ziekenhuiszorg worden voorkomen, dat bespaart veel geld.";1
"Niet naïef zijn, pragmatisme met oog voor onze eigen belangen en een uitgestoken hand naar de rest van de wereld. Een paar elementen uit mijn speech vanmorgen over internationale veiligheid tijdens de Next Gen Security Conference in het Vredespaleis in Den Haag.
 
Het gaat hier vandaag en morgen over de vraag die we als Nederland en Europa moeten beantwoorden: wat maakt ons sterk en wat houdt ons veilig? 

Het antwoord op die vraag ligt wat mij betreft in drie punten die de basis vormen van ons buitenland- en veiligheidsbeleid. Ten eerste het volledig blijven staan voor de rechtsstaat en internationale rechtsorde. 

Daarnaast blijft het trans-Atlantische bondgenootschap cruciaal voor onze veiligheid. En juist om die reden moet Europa meer gaan leveren om zo de NAVO sterker te maken. Tot slot moeten Nederland en Europa nieuwe partnerschappen aangaan en bestaande partnerschappen nieuw leven inblazen.

Benieuwd naar mijn hele antwoord?  Lees dan de toespraak via ";1
