tweet_index,tweet_url,robbert-L-dbrd-imdb-clapDataset_label,robbert-L-dbrd-imdb-clapDataset_score,robbert-L-dbrd_label,robbert-L-dbrd_score,robbert-L-dbrd-imdb_label,robbert-L-dbrd-imdb_score,robbert-L-dbrd-imdb-clap_label,robbert-L-dbrd-imdb-clap_score,robbert-2023-dutch-large_label,robbert-2023-dutch-large_score
0,https://x.com/41778159/status/2045737894703153575,LABEL_1,0.9674102663993835,LABEL_1,0.9099069833755493,LABEL_1,0.9683812260627747,LABEL_1,0.9813107252120972,LABEL_0,0.6472181081771851
1,https://x.com/41778159/status/2045527765311496680,LABEL_1,0.863391637802124,LABEL_1,0.5891255140304565,LABEL_1,0.9155072569847107,LABEL_1,0.9019206762313843,LABEL_0,0.6575495600700378
2,https://x.com/41778159/status/2045512799829295445,LABEL_0,0.6325027346611023,LABEL_1,0.5329720973968506,LABEL_0,0.5107405185699463,LABEL_0,0.646683394908905,LABEL_0,0.6646937727928162
3,https://x.com/41778159/status/2045460142636863902,LABEL_0,0.7634837031364441,LABEL_0,0.6734064817428589,LABEL_0,0.6375951170921326,LABEL_0,0.957912266254425,LABEL_0,0.6426452994346619
4,https://x.com/41778159/status/2045453955640053853,LABEL_1,0.8951566815376282,LABEL_1,0.7786493301391602,LABEL_1,0.9196425676345825,LABEL_1,0.815232515335083,LABEL_0,0.6757851243019104
5,https://x.com/41778159/status/2045220808780394584,LABEL_1,0.9801293015480042,LABEL_1,0.8683809638023376,LABEL_1,0.961243748664856,LABEL_1,0.9606574773788452,LABEL_0,0.6734626889228821
6,https://x.com/41778159/status/2045139728324763946,LABEL_0,0.9465966820716858,LABEL_0,0.6898298263549805,LABEL_0,0.8980534672737122,LABEL_0,0.9869794845581055,LABEL_0,0.6441458463668823
7,https://x.com/41778159/status/2044854712512516359,LABEL_1,0.7676898241043091,LABEL_1,0.500732421875,LABEL_1,0.5794004201889038,LABEL_1,0.8338664174079895,LABEL_0,0.6544007658958435
8,https://x.com/41778159/status/2044820915028955204,LABEL_0,0.8464508652687073,LABEL_0,0.6838418841362,LABEL_0,0.8944211602210999,LABEL_0,0.9603611826896667,LABEL_0,0.6684706211090088
9,https://x.com/41778159/status/2044749152098152920,LABEL_0,0.5758265852928162,LABEL_0,0.5170527100563049,LABEL_1,0.6036982536315918,LABEL_0,0.7879312038421631,LABEL_0,0.6665045022964478
10,https://x.com/41778159/status/2044502349482229857,LABEL_1,0.6102211475372314,LABEL_1,0.5884161591529846,LABEL_0,0.617281973361969,LABEL_1,0.5821793079376221,LABEL_0,0.6497200131416321
11,https://x.com/41778159/status/2044496979900747809,LABEL_1,0.9489172697067261,LABEL_1,0.8918110132217407,LABEL_1,0.879561185836792,LABEL_1,0.9473810195922852,LABEL_0,0.6675136089324951
12,https://x.com/41778159/status/2044430268405051792,LABEL_0,0.9722043871879578,LABEL_0,0.8770562410354614,LABEL_0,0.9367494583129883,LABEL_0,0.9773707389831543,LABEL_0,0.6566972136497498
13,https://x.com/41778159/status/2044275483068571710,LABEL_0,0.9532750844955444,LABEL_0,0.555917501449585,LABEL_0,0.718298077583313,LABEL_0,0.9403530955314636,LABEL_0,0.6504355669021606
14,https://x.com/41778159/status/2044096233128554896,LABEL_1,0.9928786158561707,LABEL_1,0.9319595694541931,LABEL_1,0.9734434485435486,LABEL_1,0.9912885427474976,LABEL_0,0.6416986584663391
15,https://x.com/41778159/status/2044093725333197165,LABEL_0,0.9235922694206238,LABEL_0,0.6965778470039368,LABEL_0,0.8335957527160645,LABEL_0,0.977022647857666,LABEL_0,0.6589095592498779
16,https://x.com/41778159/status/2044085277891678690,LABEL_0,0.9515040516853333,LABEL_0,0.8316905498504639,LABEL_0,0.8464508652687073,LABEL_0,0.9697853922843933,LABEL_0,0.6692101359367371
17,https://x.com/41778159/status/2044077006598344746,LABEL_1,0.9167081117630005,LABEL_1,0.7275885343551636,LABEL_1,0.6884683966636658,LABEL_1,0.5727227926254272,LABEL_0,0.6591513752937317
18,https://x.com/41778159/status/2044061102770667544,LABEL_0,0.8244618773460388,LABEL_0,0.7285552024841309,LABEL_0,0.5626571774482727,LABEL_0,0.7250041961669922,LABEL_0,0.6566213965415955
19,https://x.com/41778159/status/2043726141135966431,LABEL_0,0.9190633296966553,LABEL_0,0.7386690378189087,LABEL_0,0.8474634885787964,LABEL_0,0.9334307909011841,LABEL_0,0.6602837443351746
