Posts,Labels
"Bestuurder Conny Helder lobbyde om mondkapjes in verpleeghuizen af te raden.

Het leed was onbeschrijfelijk. Zorgverleners trokken bij ons aan de bel. Zij voelen zich nog schuldig en/of zijn nu zelf ziek.

Lobby mag nooit boven belang van goede zorg gaan.",0
"Samen de druk opvoeren werkt!

Dankzij gezamenlijke druk is de verhoging van de AOW-leeftijd van tafel. Nu de rest van de bezuinigingen nog.

De vakbonden voeren in juni door het hele land acties tegen dit minderheidskabinet. 

Sluit je nu aan!
",1
"De politici die de mond vol hebben van het terugdringen van vluchtelingen, zijn dezelfde politici die de oorlogen van Trump en Netanyahu niet veroordelen. ",0
"De prijzen van energie blijven stijgen. Mensen kunnen de rekening niet meer betalen.

Waar wacht Jetten op?
Pak de zeggenschap terug.

Verlaag de belasting op energie, maximeer de prijzen en belast de hoge winsten. Maak energie betaalbaar ⤵️",1
"Ook werkgevers willen geen bezuinigingen op sociale zekerheid.

Jetten staat nu écht HE-LE-MAAL alleen.

Alleen de VVD steunt Jetten nog.
Naar wie luistert hij? ",0
"Een meerderheid van de Tweede Kamer, de samenleving en de vakbonden willen niet dat geld uit de pot voor arbeidsongeschiktheid wordt geroofd.

Stop de arrogantie van de macht.
Het kabinet moet aangenomen SP-voorstel uitvoeren. ",1
"Vandaag is het gehaktdag.
Het kabinet legt financiële verantwoording af over het afgelopen jaar.

De uitkomst is glashelder:
Miljoenen voor mensen blijven op de plank liggen terwijl er miljarden over de balk worden gesmeten voor Defensie. ",0
"Het kabinet Jetten veroorzaakt problemen, stress en onzekerheid bij mensen.

Terwijl het vermogen van de allerrijkste Nederlanders groeit, snoeit het kabinet Jetten op mensen die zorg en zekerheid nodig hebben. ",0
"De afbraak van sociale zekerheid is asociaal. Het toont de arrogantie van de macht. 

Mensen die ons land draaiende houden, verdienen een overheid die aan hun kant staat.

Samen krijgen we deze bezuinigingen van tafel. Want: Wij zijn met meer! ",0
@suusonline Helaas lukt het ons niet om bij alle debatten aanwezig te zijn. We zijn met z’n drieën. Volgende keer zal ik er wel weer zijn.,1
"Overgrote meerderheid van Nederland steunt vakbonden in strijd tegen afbraak sociale zekerheid.

Mensen die ons land draaiende houden verdienen een overheid die aan hun zijde staat.

En niet deze 16 jaar lange arrogantie van de macht 👇 ",1
@suusonline In hetzelfde programma geeft ik ook aan waar en waarom het huidige asiel- en migratiebeleid problematisch is.,0
"Oud-minister en VVD-erelid Kamp is zelf medeverantwoordelijk voor jarenlange afbraakpolitiek: toeslagenschandaal, aardbevingsellende, zorgbezuinigingen, uitverkoop volkshuisvesting en sluiten politiebureaus. 

Diezelfde oud-minister komt nu bij WNL met een eenzijdig verhaal over migratie en onrust in de samenleving.",0
Deze man wil “maximaal geweld” tegen Palestijnse vluchtelingen. Een waanzinnige en gevaarlijke oproep. ,0
"Minister Vijlbrief heeft geen plannen maar alleen bezuinigingen. Stop de afbraak van AOW, WIA en WW.

Wat vind jij? Laat je mening achter en doe mee aan ons onderzoek.",0
"€2.400.000.000.000 voor oorlog!

“They got money for war but can't feed the poor”

Kabinet Jetten wil €30 miljard extra voor NAVO-norm.

Ondertussen leeft 1 op de 3 mensen van salaris naar salaris.

Stop de oorlog. Mensen willen betaalbare woningen, zorg en sociale zekerheid. ",0
@kobizonder @SPnl We zijn tegen de verhoging van de camperbelasting 👉 ,0
"Dit is niet demonstreren of protesteren.
Dit is slopen, vernielen en brandstichten.

En dan daarna de brandweer tegenhouden.

Onacceptabel. ",0
@Friedabrabant Exact. Sowieso geen 19 miljard extra voor de NAVO-norm. Dit gaat nu direct ten koste van zorg en sociale zekerheid.,0
"Wij zijn met meer! 💪

Oppositie staat verenigd achter SP-voorstel:
Premiegeld voor arbeidsongeschiktheid moet naar arbeidsongeschikten.

Ons premiegeld mag niet gebruikt worden voor hogere NAVO-norm.

Vakbonden en verenigde oppositie kunnen de afbraak van Jetten stoppen. ",1
"Wij zijn met meer! 💪

Oppositie staat verenigt achter SP-voorstel:
Premiegeld voor arbeidsongeschiktheid moet naar arbeidsongeschikten.

Ons premiegeld mag niet gebruikt worden voor hogere NAVO-norm.

Vakbonden en verenigde oppositie kunnen de afbraak van Jetten stoppen. ",1
"Het kabinet Jetten heeft geen plannen, maar alleen bezuinigingen. 

Onacceptabel, onnodig en asociaal. Werkende mensen en arbeidsongeschikten betalen de prijs.

Jetten heeft geen meerderheid. 
Wij zijn met meer. Samen met de vakbonden komen wij in actie. Samen krijgen we deze bezuinigingen van tafel.",0
"Stop de afbraak van sociale zekerheid.

Dit minderheidskabinet verdient verzet. 
Samen zijn wij met meer!

De plannen van Jetten zijn onacceptabel, onnodig en asociaal. Het raakt de werkende klasse keihard.   

Steun de vakbonden. 
Als we samen opstaan, kunnen we winnen. ",0
"Vanmiddag in alle rust een goed gesprek gehad met bewoners van de Maten in Apeldoorn.

Over sociale problemen die opstapelen in de wijk. Wijken die altijd de klappen opgevangen, waar mensen zich niet gehoord voelen en nu overvallen worden door noodopvang op een ongeschikte plek. ",1
"Trump vraagt.
Jetten draait. 

Minder zorg.
Meer bommen.

Onze welvaartsstaat wordt omgebouwd tot een oorlogsmachine. ",0
"@DGWD033 Wij blijven voorstellen indienen om accijnzen op brandstof en btw op energie en boodschappen te verlagen.

Het zijn indirecte belastingen op arbeid die mensen met bescheiden en middeninkomens raken.",0
"@Marilau2001 @SPnl Wij blijven voorstellen indienen om accijnzen op brandstof en btw op energie en boodschappen te verlagen.

Het zijn indirecte belastingen op arbeid die mensen met bescheiden en middeninkomens raken.",0
"@HenriHseubers Wij blijven voorstellen indienen om accijnzen op brandstof en btw op energie en boodschappen te verlagen.

Het zijn indirecte belastingen op arbeid die mensen met bescheiden en middeninkomens raken.",1
"Stop de crisisprofiteurs!
Shell heeft sinds de oorlog in Iran 1,7 miljard euro extra winst gemaakt. 

Belast de grootste olie- en energiebedrijven die nu recordwinsten maken. Verlaag de belastingen op energie en brandstof.

Maak energie betaalbaar en laat de crisisprofiteurs betalen ⬇️",1
"@nellie_voss Wij blijven voorstellen indienen om accijnzen op brandstof en btw op energie en boodschappen te verlagen.

Het zijn indirecte belastingen op arbeid die mensen met bescheiden en middeninkomens raken.

Kijk waar het geld naartoe gaat.
Rijken worden rijker en armen worden armer. ",0
"Gênant hoe kabinet Jetten met onze werkende klasse omgaat.

Duitsland verlaagt de brandstofprijzen.
Polen deed dit al.
Italië deed dit al.
Ierland deed dit al.
Spanje deed dit al.
Oostenrijk deed dit al.

Het kabinet Jetten heeft geen cent over voor onze zorg en werkende klasse. ",0
"De 0,01% allerrijksten betalen minder belasting dan 90% van alle Nederlanders.

Tijd voor een miljonairsbelasting!

Dan verlagen we de betastingen op energie, de accijnzen op brandstof en btw op boodschappen.

Maak Nederland betaalbaar. ",0
"Op 4 mei moet ik denken aan mensen zoals Johannes Swint. 

Swint woonde met zijn gezin in de Oosterparkwijk. Naast zijn werk als verzekeringsagent was hij ook voorzitter van de speeltuinvereniging ‘Oosterpark’.

Tijdens de jaarwisseling van 1944 wordt er bij Swint aangebeld. Als hij de deur opent staan er drie SD-mannen voor de deur die hem bevelen mee te lopen. Op het Linnaeusplein wordt hij door drie kogels geraakt en sterft ter plekke.

Johannes Swint was als één van de CPN-leiders in Groningen actief in het communistisch verzet en was in februari 1941 betrokken bij een oproep tot staking in verband met de anti-joodse maatregelen. Swint verstrekte daarnaast geld en levensmiddelen aan onderduikers.

Er zijn vele voorbeelden van ongewone gewone mensen zoals Johannes Swint. Mensen met verschillende achtergronden die kleine en grote daden van verzet laten zien. Al die opgetelde daden hebben het verschil voor zovelen gemaakt. 

Dat verschil kunnen we nu ook maken. Met grote en kleine daden van verzet. Die opgeteld een grote beweging opbouwen. Een beweging van mensen die nee zeggen tegen oorlog en geweld. 

Lees hier meer over Johannes Swint 👉 ",1
