Posts;Labels;date_created
"Wie ik ook spreek, grote bedrijven of kleine ondernemers die hard werken om hun bedrijf uit te bouwen, ze zeggen allemaal hetzelfde:

“Zit mij niet in de weg om te doen waar ik goed in ben.”

Om onze economie te doen groeien, moeten we deze ondernemers stimuleren en de ruimte geven. Zorgen dat ze de kansen van technologie en AI kunnen benutten.

Nu werkt de overheid vaak als een verlammende deken. Met onduidelijk beleid, onnodige regels, ellenlange vergunningsprocedures, toezichthouders en allerlei juridisch gedoe. Essentiële voorzieningen (zoals een energie-aansluiting) zijn onzeker. 

Dit kunnen we ons niet meer permitteren. 

AI verandert ons werk fundamenteel, die boot mogen we niet missen. In een onveilige wereld is een ronkende economie de motor voor defensie. 

In een vergrijzende samenleving moeten we productiever worden om de zorg en sociale zekerheid te kunnen betalen. En zorgen dat zo min mogelijk mensen aan de kant staan, want we hebben iedereen keihard nodig. 

Kortom, elke dag aan de bak om ondernemers en bedrijven in Nederland succesvol te laten zijn. Dat is in het belang van ons allemaal!";1;2026-05-31T11:20:40.000Z
De persoonlijke hartenkreet van Fidan Ekiz (en eerder Kamran Ullah in de Telegraaf) zou iedereen in Nederland moeten zien. ;1;2026-05-31T10:07:01.000Z
"Meer dan 20 geleden stapte ik in de bus naar mijn eerste bijeenkomst van de JOVD.

Onze veiligheid stond onder druk (aanslagen 9/11 en terrorisme). Het waren economisch zware tijden. Tegelijk zorgde de opkomst van het internet voor fundamentele verandering en nieuwe kansen.

Ik realiseerde me dat grote besluiten in de politiek worden gemaakt. En dat als ik wilde helpen ons land sterker en liberaler te maken, ik bij de JOVD en VVD moest zijn.

“De geschiedenis herhaalt zichzelf niet, maar rijmt wel.”

Nu bedreigt de Russische agressie onze veiligheid, bovenop de dreiging van terrorisme. Economische groei staat wederom onder druk. Tegelijk biedt AI allerlei nieuwe kansen, maar dan moeten we die wel durven grijpen.

Er is dus alle aanleiding om ook nu politiek actief te worden. Jongeren zijn juist nu van onschatbare waarde. Ze doorleven de modernste technologieën en social media platforms. Ze beseffen dat fundamentele hervormingen nodig zijn. En ze brengen de frisse energie die ons land nu zo nodig heeft.

Het was heerlijk om weer even ‘thuis te komen’ bij het @JOVD Verenigingsweekend. Bedankt voor het mooie gesprek!";1;2026-05-30T13:26:10.000Z
"Wat inspirerend om zoveel schitterende startups en ondernemers bij Dockwize in Vlissingen te zien!

Drones die in kleine ruimten kunnen vliegen en gevaarlijke inspecties in een olietank doen. Nieuwe manieren om woonwijken van energie te voorzien. Of een ontwikkelaar van AI toepassingen om Zeeuwse bedrijven beter en efficiënter te maken. 

Allemaal voorbeelden van geweldige innovaties, waar jonge bedrijven met een duwtje in de rug van Dockwize aan werken. 

Dockwize is de grootste innovatie- en ondernemershub van Zeeland. Waar bedrijven, financierders en opleidingen samenwerken. En van Zeeland een nóg mooiere provincie te maken.

Vanuit Den Haag moeten wij dit soort ondernemerschap ondersteunen. Door duidelijk beleid te maken (bijv rond energie), waar bedrijven op kunnen aanhaken. Door te zorgen dat de overheid sneller werkt, o.a. bij vergunningen. En door de kansen van AI te omarmen in plaats van het alleen maar in te perken. 

Dank jullie wel! @AlishaMuller en ik nemen jullie voorbeelden, ideeën én jullie energie mee naar Den Haag!";1;2026-05-29T18:13:08.000Z
"Het gevaar van Rusland kan niet worden onderschat.

De inslag van een Russische drone in een flatgebouw in Roemenië is een nieuw dieptepunt. Zo komt de Russische agressie steeds verder Europa in.

Hoe houden we Nederland veilig? Het begint met fors investeren in defensie. Daarmee het NAVO-bondgenootschap krachtig houden en de verdediging van de oostflank versterken. Tegelijk Oekraïne voluit blijven steunen. En de (economische) druk op Rusland verhogen.

Als we dit eensgezind met bondgenoten doen en hierin tempo maken, zijn we sterker dan Rusland. Maar dan moeten we ons niet laten afleiden door Russische desinformatie. Ons niet uit elkaar laten spelen. En geen twijfel zaaien over de noodzaak van investeringen in defensie.

Alleen zo houden we de Russische dreiging op afstand. Helpen we Oekraïne. En houden we ons land en onze bondgenoten veilig. 🇳🇱🇷🇴🇺🇦";1;2026-05-29T14:48:13.000Z
"Het is niet of-of, maar en-en.

Relschoppers moeten hard worden aangepakt. Gewelddadige protesten moeten worden voorkomen. Hierin worden op initiatief van de VVD belangrijke stappen gezet.

Tegelijk worden de zorgen van gewone mensen serieus genomen. En worden alle aangenomen maatregelen voor een lagere asielinstroom zsm uitgevoerd. Daar ziet de VVD scherp op toe.

Dit zijn de lichtpunten van een verder chaotisch debat. Hierin zakte FvD weer door de racistische ondergrens, door geen afstand te nemen van de vraag of ‘Nederland voor de blanke Nederlander is’. Totaal krankzinnig.";0;2026-05-27T07:52:53.000Z
"Relschoppers die hulpverleners hinderen of aanvallen, moeten hard worden aangepakt. Het recht om te demonstreren is nooit een excuus voor geweld.

Los van extreem-rechtse beroepsrelschoppers zijn er normale mensen die zich zorgen maken over de opvang van grote aantallen asielzoekers. Die zorgen moeten serieus worden genomen.

Dat betekent: de asielinstroom fors omlaag, streng asielbeleid en opvang eerlijk regelen. Laten we dit met elkaar oplossen in plaats van tegenover elkaar staan schreeuwen.";0;2026-05-26T19:41:58.000Z
"Zojuist aangenomen: veel strenger asielbeleid!

Kansarme asielzoekers worden sneller afgewezen en teruggestuurd, om te voorkomen dat ze doorreizen.

Vergunningen worden tijdelijk en korter, zodat asielzoekers teruggaan zodra het weer veilig is.

De VVD blijft zich inzetten voor strenger asielbeleid in Nederland en Europa, om te zorgen dat de instroom omlaag gaat. Mooi dat hier vandaag een belangrijke stap in is gezet!

Hier een overzicht van maatregelen die onderdeel zijn van het aangenomen EU migratiepact:

1) Strenger nationaal:
> Afschaffen permanente verblijfsvergunning
> Kortere tijdelijke vergunningen
> Tweestatusstelsel, om nareis in te perken
> Snellere en kortere procedures
> Aanvraag eerder afwijzen als asielzoeker onvoldoende meewerkt

2) Strenger Europees:
> Effectievere grensprocedures
> Betere screening
> Snellere afwijzing van kansarme aanvragen 
> Sneller terugsturen en voorkomen dat asielzoekers gaan rondreizen

Kortom, hiermee worden belangrijke acties ondernomen om de asielinstroom te verlagen en grip te krijgen op migratie!
";1;2026-05-26T12:29:19.000Z
"Weer een helse nacht met zware Russische aanvallen op Kyiv.

Rusland bestookt Oekraïne met raketten en drones, om de wil van de bevolking te breken.

Rusland bestookt ons met valse informatie, om onze steun en aandacht te breken.

Beide zal niet lukken. 

We zien hoe Rusland Oekraïne kapot wil maken, terwijl Oekraïne al maanden pleit voor een wapenstilstand.

We zien hoe Rusland steeds opnieuw oorlogen begint, terwijl er vrede was gesloten.

We zien hoe Rusland ook andere landen in Europa bedreigt, terwijl dit andersom niet zo is.

Ja, wij willen natuurlijk allemaal vrede. Maar nee, Rusland wil oorlog en is niet te vertrouwen. Dat laat Poetin elke dag zien.

Poetin sluit geen vrede uit vrije wil. Dat had hij al duizend keer kunnen doen. Hij sluit alleen vrede als hij daartoe wordt gedwongen. Door militaire en economische druk.

Als we willen dat deze oorlog eindelijk stopt en Rusland wordt gedwongen tot vrede, dan moeten we Oekraïne voluit blijven steunen. 🇳🇱🇺🇦";0;2026-05-24T07:03:28.000Z
"Weer zijn gewone mensen de dupe van dit stelletje malloten.

Het spoor blokkeren is verboden. Punt. Dit is misbruik van het zo belangrijke demonstratierecht. Goed dat de politie snel ingrijpt.

De VVD wil het bezetten van vitale infrastructuur (bijv bepaalde wegen, energie etc) breder strafbaar stellen, zodat deze types daar niet steeds opduiken. ";0;2026-05-23T13:08:04.000Z
