Posts;Labels;date_created
"Een Russische drone maakt nu slachtoffers in EU en NAVO-bondgenoot Roemenië. Een grove schending van de Europese grenzen.

Poetin ver weg houden is in belang van heel Europa. Laten we Oekraïne maximaal steunen, en Rusland afschrikken met nieuwe sancties! ";0;2026-05-29T07:12:29.000Z
Mevrouw de Vos (FvD), u staat hier als vertegenwoordiger van extremistisch reltuig! ;0;2026-05-26T20:25:21.000Z
Meneer Markuszower, hoe haal je het in je hoofd dat soort dingen te zeggen? ;0;2026-05-26T19:22:41.000Z
"Vandaag is het debat over geweld en extremisme in de samenleving. Maar @geertwilderspvv? Die schittert door afwezigheid.

Jarenlang olie op het vuur gooien, en vervolgens niet eens op je werk komen opdagen als het erover gaat. Historisch slap! Is het luiheid of lafheid?
";0;2026-05-26T15:16:07.000Z
"Het grootste pakket asielmaatregelen sinds 2000 is een feit!

Het Europese migratiepact betekent meer grip, strengere controles aan de buitengrenzen, snellere procedures en sneller terugsturen van mensen die niet mogen blijven. Een belangrijke doorbraak en goed werk van @MinisterAenM!";1;2026-05-26T14:16:37.000Z
"Het kabinet zet vandaag een grote en verstandige stap vooruit. Met een uitgestoken hand naar vakbonden om aan tafel te komen en mee te bouwen.

Zo doen we dat in Nederland: niet tegenover elkaar blijven staan, maar samenwerken aan een betere arbeidsmarkt. Aan het werk! ";1;2026-05-26T13:29:33.000Z
"Staatssecretaris Aerdts (D66) blokkeert de overname van DigiD. Een uitstekende zet!

Gegevens van Nederlanders houd je onder eigen controle. Juist met DigiD willen we niet afhankelijk zijn van Amerikaanse leveranciers. Goed dat het kabinet dit bloedserieus neemt. ";1;2026-05-26T10:48:49.000Z
"Afschuwelijke nacht voor de inwoners van Kyiv. Poetin zit in het defensief, en reageert zich af met een lawine aan raketten. Op woonwijken, scholen, winkels en zelfs gericht op schuilkelders.

Deze terreur mag niet winnen! Daarom blijven we 🇺🇦 steunen. ";1;2026-05-24T07:28:43.000Z
Op veel te jonge leeftijd is Marjan Minnesma overleden. Daarmee verliest Nederland een pionier. Met haar moed en doorzettingsvermogen werd Marjan een van de invloedrijkste mensen voor beter klimaatbeleid. Haar nalatenschap leeft voort. Veel sterkte aan alle nabestaanden. ;1;2026-05-23T10:36:13.000Z
Dit kabinet zet een belangrijke stap door handel uit illegale Israëlische nederzettingen te verbieden. Het enorme leed van Palestijnse families in Gaza en op de Westbank kan niet zonder gevolgen blijven en moet stoppen. Goed dat Nederland vandaag een duidelijke grens trekt richting de regering-Netanyahu.;1;2026-05-22T12:29:32.000Z
"Dat een Joodse school in Nederland moet sluiten vanwege dreiging is diep beschamend. Kinderen moeten veilig naar school kunnen. Altijd en zonder angst. Sterkte aan alle betrokkenen. 

";0;2026-05-21T09:33:13.000Z
"Gisteren was ik in Loosdrecht, waar de afgelopen weken demonstraties tegen noodopvang voor asielzoekers compleet uit de hand liepen. Ik sprak met bewoners, COA-medewerkers en de mensen die daar worden opgevangen. Dan zie je wat de komst van de noodopvang en het absurde geweld tegen politie, brandweer en de mensen in de opvang teweeg hebben gebracht.

Lees hier meer over mijn bezoek aan Loosdrecht: ";1;2026-05-18T07:49:08.000Z
Oproepen tot geweld tegen Palestijnse asielzoekers. Wat een complete idiotie. Stop met deze gevaarlijke wedstrijd radicaal-rechts verplassen. ;0;2026-05-14T16:41:32.000Z
"Geweld tegen politie en hulpverleners onder noemer van protest: gisteravond zagen we een nieuw dieptepunt. 
Daar zijn we állemaal de dupe van: politie, brandweer, vreedzame demonstranten.

Er is snel duidelijkheid nodig over de herkomst van dit geweld👇
";0;2026-05-13T05:57:30.000Z
Vanavond is een vuurwerkbom naar binnen gegooid bij het D66-partijkantoor. Ruim dertig Jonge Democraten waren in het pand. Dat ze ongedeerd zijn is een klein wonder, want de explosie heeft een ravage aangericht. Aan degene die verantwoordelijk is voor deze idiote actie: wij laten ons niet bang maken.;0;2026-05-07T20:33:51.000Z
"Het Nationaal Monument staat voor Nederland, en herdenkt allen die slachtoffer van de oorlog zijn geweest. 'Het monument dat burgers binnen in hun harten dragen'. 

Dat monument bekladden, ook nog op 4 mei, is een respectloze en walgelijke daad. ";0;2026-05-04T07:12:35.000Z
Goed werk van D66-minister Van Veldhoven in Colombia. Terwijl andere politici tegen beter weten in vasthouden aan fossiele import uit dictaturen, bouwen wij samen aan een schone toekomst. En juist nu is versnellen cruciaal: energie van eigen bodem maakt ons sterker én maakt energie weer betaalbaar. Nu doorzetten!;1;2026-04-30T08:22:26.000Z
"Heel veel sterkte gewenst aan Harry Bevers en zijn gezin in deze moeilijke tijd. De collega's van D66 zijn in gedachten bij jullie en hopen op een spoedig en volledig herstel.

Met Harry werk ik in de Kamer intensief samen om met een initiatiefwet de IVF-zorg in Nederland en de kennis over erfelijke ziekten te verbeteren. Ik hoop hem in de nabije toekomst weer in goede gezondheid terug te zien in de Kamer.
";1;2026-04-29T13:17:56.000Z
"Europa warmt sneller op dan welk continent ook. Met extreme hitte, droogte en natuurbranden als gevolg.

Het positieve: we kunnen veel sneller de omslag maken naar groene energie van eigen bodem. Goed voor het klimaat én voor onze onafhankelijkheid.

Juist daarom is het onbegrijpelijk dat FvD en PVV zo verslaafd blijven aan fossiele import uit Rusland en het Midden-Oosten. D66 kiest wél voor vooruitgang en een schone toekomst.";1;2026-04-29T09:25:46.000Z
